지점,지점명,일시,미세먼지
90,속초,2020-06-30 13:00,25
90,속초,2020-06-30 17:00,5
90,속초,2020-06-30 18:00,10
90,속초,2020-06-30 19:00,9
90,속초,2020-06-30 20:00,7
90,속초,2020-06-30 21:00,22
90,속초,2020-06-30 22:00,6
90,속초,2020-07-01 1:00,8
102,백령도,2020-06-01 6:00,23
102,백령도,2020-06-01 7:00,9
102,백령도,2020-06-01 8:00,14
102,백령도,2020-06-01 9:00,12
102,백령도,2020-06-01 10:00,17
102,백령도,2020-06-01 11:00,24
102,백령도,2020-06-01 12:00,35
102,백령도,2020-06-01 13:00,29
102,백령도,2020-06-01 14:00,32
102,백령도,2020-06-01 15:00,31
102,백령도,2020-06-01 16:00,28
102,백령도,2020-06-01 17:00,33
102,백령도,2020-06-01 18:00,26
102,백령도,2020-06-01 19:00,19
102,백령도,2020-06-01 20:00,31
102,백령도,2020-06-01 21:00,16
102,백령도,2020-06-01 22:00,9
102,백령도,2020-06-01 23:00,7
102,백령도,2020-06-02 0:00,9
102,백령도,2020-06-02 1:00,10
102,백령도,2020-06-02 2:00,8
102,백령도,2020-06-02 7:00,9
102,백령도,2020-06-02 8:00,15
102,백령도,2020-06-02 9:00,12
102,백령도,2020-06-02 10:00,14
102,백령도,2020-06-02 11:00,12
102,백령도,2020-06-02 12:00,21
102,백령도,2020-06-02 13:00,20
102,백령도,2020-06-02 14:00,33
102,백령도,2020-06-02 15:00,33
102,백령도,2020-06-02 16:00,31
102,백령도,2020-06-02 17:00,28
102,백령도,2020-06-02 18:00,31
102,백령도,2020-06-02 19:00,31
102,백령도,2020-06-02 20:00,20
102,백령도,2020-06-02 21:00,12
102,백령도,2020-06-02 22:00,9
102,백령도,2020-06-02 23:00,7
102,백령도,2020-06-03 0:00,8
102,백령도,2020-06-03 1:00,10
102,백령도,2020-06-03 2:00,9
102,백령도,2020-06-03 3:00,6
102,백령도,2020-06-03 4:00,9
102,백령도,2020-06-03 5:00,12
102,백령도,2020-06-03 6:00,14
102,백령도,2020-06-03 7:00,16
102,백령도,2020-06-03 8:00,17
102,백령도,2020-06-03 9:00,26
102,백령도,2020-06-03 10:00,38
102,백령도,2020-06-03 11:00,34
102,백령도,2020-06-03 12:00,27
102,백령도,2020-06-03 13:00,18
102,백령도,2020-06-03 14:00,24
102,백령도,2020-06-03 15:00,28
102,백령도,2020-06-03 16:00,16
